a,c,vs,es
"(:Agreement {agreement_id: Amended and Restated Master Services Agreement, agreement_date: 2019-11-21, name: Amended and Restated Master Services Agreement, effective_date: 2019-11-21, renewal_term: one year, type: Master Services Agreement, auto_renewal: true, notice_period_to_terminate_renewal: 90 calendar days})","(:Clause {excerpts: [USBFS and the Adviser agree that, should a dispute arise with respect to an obligation under this Agreement, they will negotiate resolution in good faith and that they will continue to conduct business as usual to the extent reasonably possible. Should the parties not be able to achieve resolution themselves, they will submit the dispute to binding arbitration under the rules of the American Arbitration Association at an agreed upon venue.], draft_p25_delta: [], obligor: Each Party, title: Dispute Resolution, external_inference_used: false, clause_order: 5, right_holder: Each Party, confidence_overall: 1.0, dependencies: [], agreement_id: Amended and Restated Master Services Agreement, clause_id: 14, defaults_applied: [], draft_p75_delta: [], draft_p50_full: USBFS and the Adviser agree that, should a dispute arise with respect to an obligation under this Agreement, they will negotiate resolution in good faith and that they will continue to conduct business as usual to the extent reasonably possible. Should the parties not be able to achieve resolution themselves, they will submit the dispute to binding arbitration under the rules of the American Arbitration Association at an agreed upon venue., page_refs: [], source_document_id: contract_001})",[],[]
"(:Agreement {agreement_id: MASTER SERVICES AGREEMENT #2023-069, agreement_date: 2024-04-02, name: MASTER SERVICES AGREEMENT #2023-069, effective_date: 2024-04-02, renewal_term: up to four (4) additional one (1) year terms, type: Master Services Agreement, expiration_date: 2029-01-30, auto_renewal: true, notice_period_to_terminate_renewal: 30 days})","(:Clause {excerpts: [In no event shall either party be liable for special, consequential, incidental, indirect or punitive loss, damages or expenses arising out of or relating to this Agreement, whether arising from a breach of contract or warranty, or arising in tort, strict liability, by statute or otherwise, even if it has been advised of their possible existence or if such loss, damages or expenses were reasonably foreseeable.], draft_p25_delta: [], obligor: Each Party, title: Limitation of Liability, external_inference_used: false, clause_order: 1, right_holder: Each Party, confidence_overall: 1.0, dependencies: [], agreement_id: MASTER SERVICES AGREEMENT #2023-069, clause_id: 4, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: 2023-069})","[
  {
    identity: 45,
    labels: [Variable],
    properties: {
      unit: n/a,
      evidence: In no event shall either party be liable for special, consequential, incidental, indirect or punitive loss, damages or expenses arising out of or relating to this Agreement, whether arising from a breach of contract or warranty, or arising in tort, strict liability, by statute or otherwise, even if it has been advised of their possible existence or if such loss, damages or expenses were reasonably foreseeable.,
      clause_key: MASTER SERVICES AGREEMENT #2023-069:::4,
      confidence: 1.0,
      name: liability_cap,
      type: bool,
      value: false
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:45
  }
]",[]
"(:Agreement {agreement_id: MASTER SERVICES AGREEMENT #2023-069, agreement_date: 2024-04-02, name: MASTER SERVICES AGREEMENT #2023-069, effective_date: 2024-04-02, renewal_term: up to four (4) additional one (1) year terms, type: Master Services Agreement, expiration_date: 2029-01-30, auto_renewal: true, notice_period_to_terminate_renewal: 30 days})","(:Clause {excerpts: [Contractor shall defend, indemnify, and hold harmless NCTCOG and Participating Entities, NCTCOG’s affiliates, and any of their respective directors, officers, employees, agents, subcontractors, successors, and assigns from any and all suits, actions, claims, demands, judgments, liabilities, losses, damages, costs, and expenses (including reasonable attorneys’ fees and court costs) (collectively, “Losses”) arising out of or relating to: (i) Services performed and carried out pursuant to this Agreement; (ii) breach of any obligation, warranty, or representation in this Agreement, (iii) the negligence or willful misconduct of Contractor and/or its employees or subcontractors; or (iv) any infringement, misappropriation, or violation by Contractor and/or its employees or subcontractors of any right of a third party; provided, however, that Contractor shall have no obligation to defend, indemnify, or hold harmless to the extent any Losses are the result of NCTCOG’s or Participating Entities’ gross negligence or willful misconduct.], draft_p25_delta: [], obligor: Contractor, title: Indemnification, external_inference_used: false, clause_order: 2, right_holder: NCTCOG, confidence_overall: 1.0, dependencies: [], agreement_id: MASTER SERVICES AGREEMENT #2023-069, clause_id: 9, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: 2023-069})",[],[]
"(:Agreement {agreement_id: MASTER SERVICES AGREEMENT #2023-069, agreement_date: 2024-04-02, name: MASTER SERVICES AGREEMENT #2023-069, effective_date: 2024-04-02, renewal_term: up to four (4) additional one (1) year terms, type: Master Services Agreement, expiration_date: 2029-01-30, auto_renewal: true, notice_period_to_terminate_renewal: 30 days})","(:Clause {excerpts: [Contractor acknowledges that any information it or its employees, agents, or subcontractors obtain regarding the operation of NCTCOG or Participating Entities, its products, services, policies, customer, personnel, and other aspect of its operation (“Confidential Information”) is proprietary and confidential, and shall not be revealed, sold, exchanged, traded, or disclosed to any person, company, or other entity during the period of the Contractor’s retention hereunder or at any time thereafter without the express written permission of NCTCOG or Participating Entity.], draft_p25_delta: [], obligor: Contractor, title: Confidentiality, external_inference_used: false, clause_order: 3, right_holder: Each Party, confidence_overall: 0.5, dependencies: [], agreement_id: MASTER SERVICES AGREEMENT #2023-069, clause_id: 6, defaults_applied: [ci_return_sla_bd: no numeric SLA provided], draft_p75_delta: [], page_refs: [], source_document_id: 2023-069})","[
  {
    identity: 48,
    labels: [Variable],
    properties: {
      unit: n/a,
      evidence: Contractor acknowledges that any information it or its employees, agents, or subcontractors obtain regarding the operation of NCTCOG or Participating Entities, its products, services, policies, customer, personnel, and other aspect of its operation (“Confidential Information”) is proprietary and confidential, and shall not be revealed, sold, exchanged, traded, or disclosed to any person, company, or other entity during the period of the Contractor’s retention hereunder or at any time thereafter without the express written permission of NCTCOG or Participating Entity.,
      clause_key: MASTER SERVICES AGREEMENT #2023-069:::6,
      confidence: 0.5,
      name: ci_return_sla_bd,
      type: int
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:48
  }
]",[]
"(:Agreement {agreement_id: AMENDED AND RESTATED MASTER SERVICES AGREEMENT, agreement_date: 2013-08-08, contract_currency: USD, name: AMENDED AND RESTATED MASTER SERVICES AGREEMENT, effective_date: 2013-08-08, type: Master Services Agreement, auto_renewal: true, total_contract_value: 50000000})","(:Clause {excerpts: [10.2.1 The Managers assume no responsibility under this Agreement other than to render the Services in good faith and will not be responsible for any action of a Service Recipient’s Governing Body in following or declining to follow any advice or recommendations of the relevant Service Provider, including as set forth in Section 3.2 hereof.], draft_p25_delta: [], obligor: Indemnifying Party, title: Limitation of Liability, external_inference_used: false, clause_order: 2, right_holder: Indemniﬁed Party, confidence_overall: 0.0, dependencies: [], agreement_id: AMENDED AND RESTATED MASTER SERVICES AGREEMENT, clause_id: 10, defaults_applied: [], draft_p75_delta: []})","[
  {
    identity: 96,
    labels: [Variable],
    properties: {
      unit: USD,
      evidence: 10.2.3 The maximum amount of the aggregate liability of the Indemniﬁed Parties pursuant to this Agreement will be equal to the amounts previously paid in respect of Services pursuant to this Agreement in the two most recent calendar years by the Service Recipients pursuant to Article 7.,
      clause_key: AMENDED AND RESTATED MASTER SERVICES AGREEMENT:::10,
      confidence: 1.0,
      name: cap_amount,
      type: int,
      value: 100000000
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:96
  },
  {
    identity: 97,
    labels: [Variable],
    properties: {
      evidence: 10.2.3 The maximum amount of the aggregate liability of the Indemniﬁed Parties pursuant to this Agreement will be equal to the amounts previously paid in respect of Services pursuant to this Agreement in the two most recent calendar years by the Service Recipients pursuant to Article 7.,
      clause_key: AMENDED AND RESTATED MASTER SERVICES AGREEMENT:::10,
      confidence: 1.0,
      name: cap_type,
      type: string,
      value: aggregate
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:97
  },
  {
    identity: 98,
    labels: [Variable],
    properties: {
      evidence: 10.2.3 The maximum amount of the aggregate liability of the Indemniﬁed Parties pursuant to this Agreement will be equal to the amounts previously paid in respect of Services pursuant to this Agreement in the two most recent calendar years by the Service Recipients pursuant to Article 7.,
      clause_key: AMENDED AND RESTATED MASTER SERVICES AGREEMENT:::10,
      confidence: 1.0,
      name: cap_calculation,
      type: string,
      value: amounts previously paid in respect of Services
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:98
  },
  {
    identity: 99,
    labels: [Variable],
    properties: {
      evidence: 10.2.3 The maximum amount of the aggregate liability of the Indemniﬁed Parties pursuant to this Agreement will be equal to the amounts previously paid in respect of Services pursuant to this Agreement in the two most recent calendar years by the Service Recipients pursuant to Article 7.,
      clause_key: AMENDED AND RESTATED MASTER SERVICES AGREEMENT:::10,
      confidence: 1.0,
      name: cap_party,
      type: string,
      value: Indemniﬁed Parties
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:99
  },
  {
    identity: 100,
    labels: [Variable],
    properties: {
      evidence: 10.2.2 The Service Recipients hereby agree that no Indemniﬁed Party will be liable to a Service Recipient, a Service Recipient’s Governing Body (including, for greater certainty, a director or oﬃcer of a Service Recipient or another individual with similar function or capacity) or any security holder or partner of a Service Recipient for any Liabilities that may occur as a result of any acts or omissions by the Indemniﬁed Party pursuant to or in accordance with this Agreement, except to the extent that such Liabilities are ﬁnally determined by a ﬁnal and non-appealable judgment entered by a court of competent jurisdiction to have resulted from the Indemniﬁed Party’s bad faith, fraud, wilful misconduct, gross negligence, or in the case of a criminal matter, conduct undertaken with knowledge that the conduct was unlawful.,
      clause_key: AMENDED AND RESTATED MASTER SERVICES AGREEMENT:::10,
      confidence: 1.0,
      name: carve_outs,
      type: array,
      value: [bad faith, fraud, wilful misconduct, gross negligence]
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:100
  }
]",[]
"(:Agreement {agreement_id: AMENDED AND RESTATED MASTER SERVICES AGREEMENT, agreement_date: 2013-08-08, contract_currency: USD, name: AMENDED AND RESTATED MASTER SERVICES AGREEMENT, effective_date: 2013-08-08, type: Master Services Agreement, auto_renewal: true, total_contract_value: 50000000})","(:Clause {excerpts: [11.1 Term This Agreement will continue in full force and eﬀect, in perpetuity, until terminated in accordance with Section 11.2 or Section 11.3.], draft_p25_delta: [], obligor: Each Party, title: Term and Termination, external_inference_used: false, clause_order: 3, right_holder: Each Party, confidence_overall: 0.0, dependencies: [], agreement_id: AMENDED AND RESTATED MASTER SERVICES AGREEMENT, clause_id: 11, defaults_applied: [], draft_p75_delta: []})",[],[]
"(:Agreement {agreement_id: LOAN AGREEMENT, agreement_date: 2002-12-31, contract_currency: USD, name: LOAN AGREEMENT, effective_date: 2002-12-31, renewal_term: 1 year, type: Loan Agreement, auto_renewal: true, notice_period_to_terminate_renewal: 6 months, total_contract_value: 20000000})","(:Clause {excerpts: [], draft_p25_delta: [], obligor: Each Party, title: Limitation of Liability, external_inference_used: false, clause_order: 1, right_holder: Each Party, confidence_overall: 0.0, dependencies: [], agreement_id: LOAN AGREEMENT, clause_id: 1, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: Loan Agreement})",[],[]
"(:Agreement {agreement_id: LOAN AGREEMENT, agreement_date: 2002-12-31, contract_currency: USD, name: LOAN AGREEMENT, effective_date: 2002-12-31, renewal_term: 1 year, type: Loan Agreement, auto_renewal: true, notice_period_to_terminate_renewal: 6 months, total_contract_value: 20000000})","(:Clause {excerpts: [], draft_p25_delta: [], obligor: Each Party, title: Confidentiality, external_inference_used: false, clause_order: 2, right_holder: Each Party, confidence_overall: 0.0, dependencies: [], agreement_id: LOAN AGREEMENT, clause_id: 6, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: Loan Agreement})",[],[]
"(:Agreement {agreement_id: LOAN AGREEMENT, agreement_date: 2002-12-31, contract_currency: USD, name: LOAN AGREEMENT, effective_date: 2002-12-31, renewal_term: 1 year, type: Loan Agreement, auto_renewal: true, notice_period_to_terminate_renewal: 6 months, total_contract_value: 20000000})","(:Clause {excerpts: [], draft_p25_delta: [], obligor: Each Party, title: Data Breach Notification, external_inference_used: false, clause_order: 3, right_holder: Each Party, confidence_overall: 0.0, dependencies: [], agreement_id: LOAN AGREEMENT, clause_id: 7, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: Loan Agreement})",[],[]
"(:Agreement {agreement_id: LOAN AGREEMENT, agreement_date: 2002-12-31, contract_currency: USD, name: LOAN AGREEMENT, effective_date: 2002-12-31, renewal_term: 1 year, type: Loan Agreement, auto_renewal: true, notice_period_to_terminate_renewal: 6 months, total_contract_value: 20000000})","(:Clause {excerpts: [], draft_p25_delta: [], obligor: Each Party, title: Data Protection Compliance, external_inference_used: false, clause_order: 4, right_holder: Each Party, confidence_overall: 0.0, dependencies: [], agreement_id: LOAN AGREEMENT, clause_id: 8, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: Loan Agreement})",[],[]
"(:Agreement {agreement_id: LOAN AGREEMENT, agreement_date: 2002-12-31, contract_currency: USD, name: LOAN AGREEMENT, effective_date: 2002-12-31, renewal_term: 1 year, type: Loan Agreement, auto_renewal: true, notice_period_to_terminate_renewal: 6 months, total_contract_value: 20000000})","(:Clause {excerpts: [], draft_p25_delta: [], obligor: Each Party, title: Technical & Organisational Measures, external_inference_used: false, clause_order: 5, right_holder: Each Party, confidence_overall: 0.0, dependencies: [], agreement_id: LOAN AGREEMENT, clause_id: 9, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: Loan Agreement})",[],[]
"(:Agreement {agreement_id: LOAN AGREEMENT, agreement_date: 2002-12-31, contract_currency: USD, name: LOAN AGREEMENT, effective_date: 2002-12-31, renewal_term: 1 year, type: Loan Agreement, auto_renewal: true, notice_period_to_terminate_renewal: 6 months, total_contract_value: 20000000})","(:Clause {excerpts: [], draft_p25_delta: [], obligor: Each Party, title: Marketing & Promotion, external_inference_used: false, clause_order: 6, right_holder: Each Party, confidence_overall: 0.0, dependencies: [], agreement_id: LOAN AGREEMENT, clause_id: 10, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: Loan Agreement})",[],[]
"(:Agreement {agreement_id: SECOND AMENDED AND RESTATED MASTER SERVICES AGREEMENT, agreement_date: 2024-04-30, contract_currency: USD, name: SECOND AMENDED AND RESTATED MASTER SERVICES AGREEMENT, effective_date: 2025-01-01, type: Master Services Agreement, auto_renewal: false, total_contract_value: 22600000})","(:Clause {excerpts: [The Service Recipients hereby agree that no Manager Indemnified Party will be liable to a Service Recipient, a Service Recipient’s Governing Body (including, for greater certainty, a director or officer of a Service Recipient or another individual with similar function or capacity) or any security holder or partner of a Service Recipient for any Liabilities that may occur as a result of any acts or omissions by any Manager Indemnified Party pursuant to or in accordance with this Agreement, except to the extent that such Liabilities are finally determined by a final and non-appealable judgment entered by a court of competent jurisdiction to have resulted from a Manager Indemnified Party’s bad faith, fraud, willful misconduct or gross negligence, or in the case of a criminal matter, conduct undertaken with knowledge that the conduct was unlawful.], draft_p25_delta: [], obligor: Service Recipients, title: Limitation of Liability, external_inference_used: false, clause_order: 2, right_holder: Manager Indemnified Party, confidence_overall: 0.0, dependencies: [], agreement_id: SECOND AMENDED AND RESTATED MASTER SERVICES AGREEMENT, clause_id: 9, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: 003120-0001-26804205})","[
  {
    identity: 133,
    labels: [Variable],
    properties: {
      unit: USD,
      evidence: The maximum amount of the aggregate liability of the Manager Indemnified Parties pursuant to this Agreement will be equal to the amounts previously payable in respect of Services pursuant to this Agreement in the two most recent calendar years by the Service Recipients pursuant to Article 7.,
      clause_key: SECOND AMENDED AND RESTATED MASTER SERVICES AGREEMENT:::9,
      confidence: 1.0,
      name: liability_cap_amount,
      type: int,
      value: 45320000
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:133
  },
  {
    identity: 134,
    labels: [Variable],
    properties: {
      evidence: The maximum amount of the aggregate liability of the Manager Indemnified Parties pursuant to this Agreement will be equal to the amounts previously payable in respect of Services pursuant to this Agreement in the two most recent calendar years by the Service Recipients pursuant to Article 7.,
      clause_key: SECOND AMENDED AND RESTATED MASTER SERVICES AGREEMENT:::9,
      confidence: 1.0,
      name: liability_cap_type,
      type: enum,
      value: aggregate
    },
    elementId: 4:f598c936-3633-4b74-ab5d-07e99aea41f5:134
  }
]",[]
"(:Agreement {agreement_id: SECOND AMENDED AND RESTATED MASTER SERVICES AGREEMENT, agreement_date: 2024-04-30, contract_currency: USD, name: SECOND AMENDED AND RESTATED MASTER SERVICES AGREEMENT, effective_date: 2025-01-01, type: Master Services Agreement, auto_renewal: false, total_contract_value: 22600000})","(:Clause {excerpts: [This Agreement shall continue in full force and effect in perpetuity until terminated in accordance with Section 10.2, Section 10.3 or Section 12.1.1.], draft_p25_delta: [], obligor: CWEN, CE LLC and CE Op, title: Term and Termination, external_inference_used: false, clause_order: 3, right_holder: Each Party, confidence_overall: 0.0, dependencies: [], agreement_id: SECOND AMENDED AND RESTATED MASTER SERVICES AGREEMENT, clause_id: 10, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: 003120-0001-26804205})",[],[]
"(:Agreement {agreement_id: SECOND AMENDED AND RESTATED MASTER SERVICES AGREEMENT, agreement_date: 2024-04-30, contract_currency: USD, name: SECOND AMENDED AND RESTATED MASTER SERVICES AGREEMENT, effective_date: 2025-01-01, type: Master Services Agreement, auto_renewal: false, total_contract_value: 22600000})","(:Clause {excerpts: [Any Dispute shall be submitted to arbitration (the “Arbitration”) by three (3) Arbitrators pursuant to the procedure set forth in this Section 11.2 and pursuant to the then current Commercial Arbitration Rules (the “Rules”) of the American Arbitration Association (“AAA”).], draft_p25_delta: [], obligor: Each Party, title: Arbitration, external_inference_used: false, clause_order: 4, right_holder: Each Party, confidence_overall: 0.0, dependencies: [], agreement_id: SECOND AMENDED AND RESTATED MASTER SERVICES AGREEMENT, clause_id: 11, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: 003120-0001-26804205})",[],[]
"(:Agreement {agreement_id: SECOND AMENDED AND RESTATED MASTER SERVICES AGREEMENT, agreement_date: 2024-04-30, contract_currency: USD, name: SECOND AMENDED AND RESTATED MASTER SERVICES AGREEMENT, effective_date: 2025-01-01, type: Master Services Agreement, auto_renewal: false, total_contract_value: 22600000})","(:Clause {excerpts: [Manager agrees that the information the Manager Group has or obtains concerning the Service Recipients and their respective assets, business, operations or prospects (the “Confidential Information”) constitutes the confidential information of the respective Service Recipient, and that Manager shall not, and shall cause the other members of the Manager Group not to, without the prior written consent of CWEN, publicly disclose any Confidential Information.], draft_p25_delta: [], obligor: Manager, title: Confidentiality, external_inference_used: false, clause_order: 5, right_holder: Each Party, confidence_overall: 0.0, dependencies: [], agreement_id: SECOND AMENDED AND RESTATED MASTER SERVICES AGREEMENT, clause_id: 6, defaults_applied: [], draft_p75_delta: [], page_refs: [], source_document_id: 003120-0001-26804205})",[],[]
